n_sessions,help_seeking,sleep_hrs,self_sufficiency,age,gender,resilience_change
3,Yes,8,29,43,f,18
1,Yes,7,23,43,m,27
1,Yes,7,23,39,m,25
3,No,8,27,43,m,20
5,Yes,8,25,55,f,13
3,Yes,6,28,35,m,20
1,Yes,4,21,26,f,29
1,Yes,8,24,39,f,25
8,No,6,25,52,m,4
2,Yes,7,27,52,m,16
3,No,7,23,46,f,21
2,No,9,26,42,m,20
3,Yes,5,26,34,f,21
7,Yes,8,23,50,m,7
1,No,6,20,24,f,24
8,No,9,22,25,m,5
2,No,6,21,33,f,22
3,Yes,4,22,24,m,20
9,Yes,9,24,48,m,1
7,No,6,20,20,f,11
4,No,8,24,43,m,18
5,No,6,21,23,f,18
2,Yes,5,23,41,f,22
8,Yes,7,25,20,f,1
4,No,7,28,23,m,19
9,Yes,9,29,34,m,-1
5,No,6,25,36,f,15
9,Yes,6,29,36,f,3
4,No,6,21,41,f,18
5,Yes,6,27,27,f,15
9,Yes,5,24,42,m,3
8,Yes,8,28,41,f,4
3,Yes,5,29,19,f,20
1,Yes,5,28,24,m,23
3,Yes,5,23,18,f,25
4,Yes,7,20,23,m,19
2,No,5,28,38,f,27
1,No,6,28,49,m,25
7,No,5,27,38,m,10
8,Yes,6,24,24,f,7
7,Yes,9,24,24,m,6
5,Yes,8,29,38,m,11
1,No,7,25,41,f,23
7,No,8,20,25,m,3
7,No,9,28,21,m,8
9,No,8,24,49,m,4
3,No,7,26,30,m,20
9,No,6,27,19,f,2
1,Yes,9,24,48,f,20
1,No,9,22,31,f,25
4,Yes,6,25,44,f,19
9,No,6,26,34,f,5
6,No,7,23,47,f,10
3,Yes,5,28,35,m,20
1,Yes,4,23,34,m,24
4,Yes,5,29,39,f,15
9,No,5,21,49,m,7
3,No,8,28,23,m,21
9,Yes,4,23,35,m,3
7,No,6,23,19,m,10
4,Yes,5,29,54,f,14
3,No,7,20,48,m,20
5,No,5,21,52,m,16
5,No,6,22,36,m,18
3,Yes,5,26,18,m,21
9,No,9,28,23,m,1
4,Yes,8,24,19,f,20
5,Yes,8,23,43,f,12
4,Yes,5,21,45,m,16
5,Yes,8,26,47,f,14
7,Yes,7,25,35,m,6
9,Yes,4,26,30,m,1
7,Yes,5,27,49,f,8
5,Yes,7,28,26,f,14
7,Yes,9,29,38,f,4
5,No,7,24,27,m,17
3,Yes,7,24,26,m,19
7,No,9,23,25,m,9
2,Yes,6,22,43,f,25
9,No,5,26,31,m,3
1,No,5,24,18,f,28
6,No,5,26,26,f,15
7,No,4,21,30,m,7
8,No,7,28,23,m,6
9,No,5,28,53,f,5
2,Yes,8,28,36,m,19
2,Yes,6,24,49,f,24
5,Yes,9,29,40,f,14
5,Yes,9,28,19,f,14
6,Yes,4,20,51,m,15
3,Yes,9,21,45,m,21
8,No,6,29,27,m,7
1,Yes,7,24,24,f,27
6,No,9,24,41,f,8
4,No,9,25,22,f,11
1,No,8,27,24,f,23
7,No,7,20,44,f,10
9,No,5,29,32,m,5
4,No,6,28,20,f,16
4,Yes,9,23,33,f,18
6,No,8,27,51,f,11
3,No,6,24,27,f,18
6,Yes,4,20,51,f,9
7,Yes,8,28,45,f,6
3,Yes,4,27,27,m,18
7,Yes,9,24,26,f,4
3,Yes,8,23,33,m,18
2,Yes,5,27,23,m,24
4,Yes,6,28,49,m,17
8,No,6,26,23,f,6
9,Yes,7,23,35,f,6
7,No,8,26,33,m,9
1,Yes,8,25,45,f,24
3,Yes,4,22,36,f,22
9,No,8,29,55,f,-2
1,Yes,6,22,40,f,26
9,Yes,8,20,44,m,2
8,Yes,7,24,48,m,5
1,Yes,7,27,37,m,23
6,Yes,6,25,45,f,13
5,Yes,6,27,27,m,12
6,Yes,6,26,51,m,10
5,No,8,21,37,m,12
6,Yes,8,27,19,f,14
5,No,5,23,46,m,17
5,No,9,24,49,m,17
4,No,9,27,42,m,17
3,No,4,24,28,f,22
3,No,8,24,20,m,19
4,No,5,25,48,m,13
9,No,5,26,35,m,1
2,Yes,7,28,55,m,23
9,Yes,8,26,42,m,0
1,Yes,5,25,40,f,23
1,No,7,29,41,m,25
5,Yes,4,23,34,f,16
6,No,7,29,38,m,11
6,No,4,21,28,f,13
3,Yes,9,28,26,m,17
7,No,9,29,19,m,6
9,No,6,24,19,f,0
8,Yes,6,24,36,m,4
6,No,7,22,50,f,15
8,Yes,6,22,52,f,9
5,No,8,20,44,m,14
8,No,7,24,41,f,6
4,Yes,5,22,54,m,21
8,Yes,8,21,48,m,9
2,Yes,7,28,48,m,22
5,No,9,29,31,m,12
9,No,4,25,40,m,4
4,Yes,6,22,51,f,18
6,Yes,6,26,50,m,12
1,Yes,6,28,21,f,25
9,No,7,28,24,f,1
1,No,8,20,36,f,29
5,Yes,4,21,49,f,16
4,Yes,6,27,40,m,15
3,Yes,8,20,52,f,21
6,No,5,22,38,m,13
2,Yes,9,26,31,f,20
3,Yes,5,27,32,m,21
5,Yes,4,24,41,f,15
9,No,6,21,43,f,7
2,No,5,22,40,m,23
8,Yes,9,28,38,m,4
2,No,8,29,32,m,20
5,Yes,8,26,48,f,11
7,Yes,5,20,19,f,8
8,Yes,6,22,46,m,4
1,Yes,9,28,44,m,25
6,No,4,26,50,m,12
1,Yes,6,21,24,f,25
2,Yes,7,25,45,m,23
1,No,5,28,31,m,23
5,Yes,7,23,39,m,14
9,No,5,29,23,m,2
6,Yes,4,21,30,m,11
1,Yes,6,22,45,m,26
1,Yes,9,26,34,f,20
2,Yes,6,23,41,m,18
9,No,5,26,37,f,4
3,Yes,8,24,41,f,17
1,No,7,27,36,f,20
5,No,9,27,51,m,14
7,No,9,24,23,m,13
6,Yes,6,26,24,f,9
1,No,6,25,45,m,27
5,No,5,27,46,m,17
5,No,8,28,20,f,14
6,Yes,7,24,26,m,14
3,Yes,8,26,42,m,15
5,No,9,20,39,m,11
7,No,8,27,18,f,8
5,Yes,5,22,48,m,16
5,No,8,20,36,f,14
5,No,7,25,46,m,10
3,No,9,27,54,m,20
1,Yes,4,22,27,m,27
5,No,9,20,29,m,12
9,No,4,22,46,f,6
1,Yes,7,24,53,f,27
3,No,9,27,43,m,18
4,Yes,9,28,44,f,18
1,Yes,9,28,29,f,22
1,Yes,9,23,20,m,24
8,No,5,27,19,f,5
2,No,6,24,46,f,25
8,No,9,22,53,m,4
7,No,5,24,21,m,9
2,No,7,21,36,m,26
6,No,9,25,46,m,12
6,No,8,20,34,m,9
3,No,9,25,29,f,17
2,Yes,9,24,37,m,25
1,No,4,28,20,m,27
6,No,8,26,49,m,10
5,Yes,9,25,23,m,12
9,No,9,26,39,m,1
1,Yes,9,29,20,f,22
7,No,5,24,34,m,10
5,No,7,20,20,m,15
5,Yes,4,28,33,m,16
2,Yes,9,24,26,f,22
3,No,7,23,31,m,25
7,Yes,4,25,40,m,12
6,No,4,24,27,f,14
2,No,4,20,28,f,27
6,No,9,21,47,f,10
2,No,5,23,39,m,28
2,No,9,27,19,m,22
2,No,9,24,43,m,21
3,Yes,7,26,52,f,22
2,Yes,6,21,52,f,21
4,Yes,6,27,45,m,16
9,No,6,24,38,f,2
6,Yes,7,23,19,f,13
1,No,8,28,20,f,26
8,Yes,7,25,34,f,5
7,No,4,23,24,f,9
3,No,9,27,38,f,17
1,No,8,22,37,m,25
5,No,4,29,30,f,16
4,No,9,21,52,m,19
8,Yes,9,26,42,f,2
1,No,4,23,19,m,28
1,Yes,7,23,35,m,28
4,No,6,29,54,f,19
8,No,8,28,24,m,6
5,No,9,21,29,m,14
2,Yes,5,20,32,f,24
6,No,9,26,33,m,13
5,Yes,6,27,33,m,15
2,No,9,22,34,f,23
3,Yes,5,21,53,f,21
9,Yes,7,23,27,m,4
7,Yes,9,21,49,f,2
7,No,8,21,26,f,9
6,No,7,24,26,m,13
8,Yes,5,29,41,f,8
4,No,4,24,37,m,17
8,No,9,27,39,m,8
4,No,7,28,46,f,20
8,Yes,9,21,36,f,5
9,Yes,8,20,47,m,1
3,No,9,22,31,f,19
3,Yes,7,25,33,f,15
2,No,6,24,51,m,25
3,No,7,27,31,f,20
3,Yes,5,27,48,f,20
5,Yes,7,21,25,f,14
5,No,8,28,39,m,14
2,No,7,23,40,f,24
6,No,7,20,32,m,15
5,Yes,8,21,36,f,12
6,Yes,7,25,26,m,9
1,No,8,24,53,m,26
5,No,5,26,36,m,15
9,Yes,8,28,51,m,-2
2,No,5,25,35,f,26
1,Yes,5,25,46,f,25
9,Yes,8,21,39,f,3
9,No,7,26,54,m,-1
9,No,9,21,21,m,-1
6,Yes,6,26,28,f,10
8,No,9,27,37,f,-3
1,Yes,8,20,53,m,25
4,Yes,7,28,35,f,24
1,Yes,5,27,43,f,27
8,No,4,28,39,m,8
1,No,6,24,27,m,23
3,No,9,23,54,f,20
4,Yes,7,20,28,m,14
8,Yes,6,28,18,m,4
6,Yes,4,23,26,m,12
7,Yes,4,23,19,m,9
8,No,4,23,23,m,7
2,No,9,21,52,f,20
8,No,8,23,49,m,6
3,Yes,6,21,55,f,22
7,Yes,8,27,48,f,6
3,No,4,26,23,f,21
7,Yes,7,29,41,f,8
2,No,4,21,33,f,20
6,Yes,8,21,39,m,9
3,Yes,4,21,23,m,23
3,Yes,4,20,51,f,21
9,Yes,8,25,48,m,4
7,Yes,8,25,23,f,10
5,No,7,20,35,f,14
7,No,8,20,24,f,11
9,No,7,25,54,m,3
1,Yes,5,25,29,m,28
7,No,5,23,55,m,11
6,No,8,22,39,f,12
9,Yes,4,28,42,f,3
1,Yes,6,25,25,f,21
4,No,4,20,39,m,17
9,No,8,22,20,m,4
4,No,7,20,32,f,19
3,No,4,22,43,m,23
9,No,5,21,54,m,6
2,Yes,9,24,39,m,22
4,No,8,22,25,m,14
6,No,4,26,51,f,19
2,No,9,27,37,f,19
8,No,4,26,46,m,5
8,No,7,21,37,f,11
1,No,7,29,28,m,24
3,Yes,7,29,39,m,19
9,Yes,9,26,36,m,1
5,Yes,6,29,52,m,12
6,No,9,22,19,m,11
4,No,8,26,36,f,19
2,Yes,8,20,53,f,19
8,No,5,21,20,f,9
6,No,5,29,53,m,7
5,No,8,20,29,m,17
9,Yes,4,28,20,f,5
1,Yes,8,21,46,m,25
5,Yes,6,21,42,m,13
6,No,5,25,47,f,9
5,Yes,5,26,25,f,17
6,Yes,9,21,38,m,11
6,Yes,5,23,37,f,9
7,No,8,22,32,m,9
4,Yes,5,24,23,m,16
8,Yes,5,28,53,f,9
7,No,9,21,29,m,12
9,Yes,8,24,44,f,0
7,No,4,27,20,f,10
3,No,5,25,40,m,20
3,Yes,5,23,48,m,22
8,Yes,5,29,44,m,8
5,Yes,6,27,49,m,13
4,No,8,22,33,m,20
8,Yes,5,23,20,f,6
6,Yes,6,28,32,f,13
2,Yes,4,24,21,m,22
4,No,4,25,18,m,19
4,No,9,21,29,f,17
6,No,9,28,46,m,9
6,Yes,9,27,52,f,7
1,Yes,6,26,46,m,25
8,No,4,28,26,m,2
6,Yes,9,24,40,m,6
3,Yes,7,24,49,f,21
9,No,9,28,26,f,4
2,No,4,24,40,f,27
8,No,7,28,52,m,1
3,Yes,6,20,23,m,23
5,Yes,7,29,55,m,14
6,Yes,4,29,46,f,11
6,No,5,27,21,m,8
4,No,7,22,41,f,20
3,Yes,4,27,45,m,18
4,No,9,24,25,f,17
1,No,5,21,25,f,27
4,Yes,6,28,54,m,17
1,No,6,23,33,m,28
1,Yes,8,26,35,m,25
6,No,6,27,34,f,13
5,Yes,8,26,38,m,16
4,No,6,25,21,f,20
3,Yes,6,26,45,m,17
1,No,6,23,27,m,28
6,No,8,29,41,m,8
2,No,9,20,45,m,23
8,No,8,24,28,f,5
5,No,7,27,31,f,14
7,Yes,4,29,20,m,7
2,Yes,4,25,42,m,25
8,Yes,9,24,41,f,5
2,No,4,21,29,m,23
4,Yes,6,29,38,f,14
1,No,9,24,48,f,21
5,No,4,29,50,f,17
9,Yes,8,22,43,f,4
1,Yes,7,21,39,f,26
9,No,5,22,24,m,7
8,No,7,23,36,f,4
6,Yes,4,21,31,f,13
7,Yes,9,23,20,m,7
3,No,4,23,18,f,19
1,No,8,25,23,f,26
5,Yes,7,24,39,f,12
2,No,8,26,21,f,19
5,No,8,26,51,m,12
8,Yes,5,22,38,f,6
9,Yes,8,28,21,f,1
2,No,8,26,23,f,25
3,No,5,26,53,m,21
3,Yes,6,21,20,f,17
1,No,6,29,30,m,21
8,Yes,9,22,28,m,4
6,No,5,22,25,f,14
8,Yes,9,25,29,m,2
9,No,9,23,51,f,2
5,No,8,23,51,f,12
3,No,9,20,47,m,21
5,Yes,4,25,36,m,15
5,Yes,7,27,52,m,14
5,Yes,4,27,51,m,14
3,No,4,27,18,m,23
4,No,8,24,41,f,17
9,Yes,7,29,37,f,0
9,Yes,9,25,30,f,0
2,No,7,24,41,m,23
8,No,9,23,19,f,2
8,No,6,23,51,m,9
7,No,5,23,20,m,13
8,Yes,8,23,55,f,6
3,Yes,9,25,43,m,18
6,No,9,25,52,f,7
1,No,7,24,39,m,26
7,No,8,28,49,f,9
1,Yes,9,27,34,f,25
9,Yes,6,29,41,m,2
1,No,4,25,33,f,30
1,No,9,28,41,f,20
7,No,7,24,19,m,14
2,No,6,29,22,m,24
5,No,8,23,51,f,15
8,No,9,25,25,m,6
8,Yes,6,23,55,f,4
3,Yes,6,27,18,f,21
7,Yes,6,26,25,f,7
3,No,6,24,20,m,17
6,No,6,29,31,m,8
6,No,6,25,36,f,11
3,Yes,5,26,42,f,20
7,No,8,21,38,m,7
3,Yes,4,28,49,f,21
8,No,8,26,42,m,6
4,No,7,27,18,f,18
1,No,7,24,19,f,26
4,Yes,8,22,41,f,19
7,Yes,6,21,39,m,11
4,Yes,5,21,38,f,14
6,No,4,22,51,f,12
9,Yes,9,20,34,f,2
1,No,9,20,51,f,27
5,No,6,26,41,m,13
7,Yes,8,29,44,f,9
1,Yes,9,27,30,f,26
4,No,8,25,32,m,18
6,No,5,26,25,m,14
2,No,5,20,23,f,24
5,No,8,20,20,m,14
1,Yes,6,28,48,m,24
6,Yes,6,24,20,m,10
6,Yes,6,26,40,f,10
4,No,9,25,28,f,18
8,No,4,23,54,m,6
4,No,4,20,40,m,19
8,Yes,6,23,48,f,7
8,No,8,29,23,f,5
5,No,5,29,18,f,12
4,Yes,7,27,42,m,18
2,Yes,5,20,45,m,23
3,No,5,21,44,f,21
3,Yes,7,27,51,f,19
4,No,6,21,44,f,19
4,Yes,5,29,28,f,16
5,No,7,28,30,m,17
4,Yes,9,22,27,m,15
8,Yes,8,22,36,f,7
6,Yes,8,25,20,m,8
6,Yes,8,22,43,m,14
8,No,6,28,48,m,10
7,No,5,27,46,m,13
8,Yes,5,23,28,f,7
2,No,4,25,24,m,28
9,Yes,8,27,20,f,4
1,Yes,6,23,24,f,28
8,No,7,24,49,m,4
4,No,6,26,45,m,19
4,No,5,27,39,f,18
5,No,8,26,25,f,14
8,No,4,27,21,m,10
5,No,9,23,22,m,13
8,No,6,20,31,m,2
1,Yes,4,25,44,m,30
9,No,5,24,23,m,6
6,Yes,7,23,18,m,14
3,No,6,21,34,m,22
8,No,9,20,28,m,8
9,Yes,5,28,19,m,0
6,Yes,8,21,27,m,8
7,Yes,6,28,33,f,6
1,Yes,4,25,38,f,24
5,No,6,25,29,f,14
5,No,5,21,37,m,14
4,Yes,5,25,42,f,18
6,Yes,4,22,32,f,14
7,No,9,26,19,f,6
9,No,5,29,20,m,4
1,Yes,6,23,50,f,22
6,No,9,28,44,m,8
7,No,4,24,42,m,12
3,Yes,5,29,25,f,20
8,Yes,5,22,31,m,7
5,Yes,6,20,44,m,17
9,Yes,5,20,52,f,2
5,No,6,23,40,m,17
9,Yes,8,29,47,m,2
4,No,9,29,39,m,16
9,No,6,23,48,m,5
5,No,7,28,24,f,12
